"logFC"	"P.Value"	"adj.P.Val"
"X84467"	2.61871337902915	0.0278020402354066	0.978485020859851
"X2044"	2.61836187201794	0.0278229946046799	0.978485020859851
"X4513"	-2.60552373031085	0.0285977016122684	0.978485020859851
"X26230"	2.59524327862349	0.0292313945237024	0.978485020859851
"X9170"	2.59476308054322	0.0292612872935072	0.978485020859851
"X494470"	2.58916951051416	0.0296114344080065	0.978485020859851
"X92312"	2.58599294480974	0.0298118813043377	0.978485020859851
"X771"	2.58235409051678	0.0300429320690225	0.978485020859851
"X10529"	-2.57082447915569	0.030785202005094	0.978485020859851
"X23414"	2.56776874871627	0.0309845482282526	0.978485020859851
"X4509"	-2.54532473987572	0.0324829650429402	0.978485020859851
"X4171"	2.52179844707025	0.0341198529008538	0.978485020859851
"X23426"	2.51293206437518	0.0347547868031497	0.978485020859851
"X54437"	2.49150585740227	0.0363309325646993	0.978485020859851
"X6660"	2.49056504002315	0.0364015147464991	0.978485020859851
"X55079"	2.48905794529915	0.0365148238272613	0.978485020859851
"X1996"	2.48412445255552	0.0368878469600286	0.978485020859851
"X10000"	2.48223278777068	0.037031734737421	0.978485020859851
"X114815"	2.48021809538362	0.0371855057989389	0.978485020859851
"X27319"	2.47782683661113	0.0373687234438459	0.978485020859851
"X89944"	2.47189505334522	0.0378265351851949	0.978485020859851
"X4514"	-2.47163852854567	0.0378464407887445	0.978485020859851
"X928"	-2.46277324824473	0.0385398574429386	0.978485020859851
"X8404"	-2.44176509141975	0.0402262817424348	0.978485020859851
"X4512"	-2.43944985628772	0.0404159091889296	0.978485020859851
"X3899"	2.43360825460896	0.0408977325236009	0.978485020859851
"X64168"	-2.4241421804883	0.0416888400513949	0.978485020859851
"X4301"	2.42120531540083	0.0419369005612898	0.978485020859851
"X3897"	2.41948480389714	0.0420828019793361	0.978485020859851
"X140689"	2.41163064197965	0.0427543118728835	0.978485020859851
"X5730"	-2.41133939087596	0.0427793862864582	0.978485020859851
"X9055"	2.40791151903502	0.0430754344042533	0.978485020859851
"X26047"	2.40533763984996	0.043298864074367	0.978485020859851
"X11075"	2.40279555173322	0.0435204944757753	0.978485020859851
"X4538"	-2.39900540076889	0.0438527155797091	0.978485020859851
"X4508"	-2.39397858279492	0.0442966366630814	0.978485020859851
"X1630"	2.37553876584446	0.0459576748015512	0.978485020859851
"X2016"	2.36848960828947	0.0466063697046721	0.978485020859851
"X4519"	-2.35911959126977	0.047480555954976	0.978485020859851
"X4761"	2.35737564571714	0.0476447718244362	0.978485020859851
"X119"	2.35239440116602	0.0481164544917919	0.978485020859851
"X388228"	2.34396702729676	0.04892338971513	0.978485020859851
"X64084"	2.34091663574706	0.0492182562781827	0.978485020859851
"X9213"	2.33750971736643	0.0495493481087548	0.978485020859851
"X6092"	2.33465083234577	0.0498286206590377	0.978485020859851
"X24145"	2.32356371282374	0.0509241910898416	0.978485020859851
"X100133941"	2.31772711177049	0.0515089929998921	0.978485020859851
"X4760"	2.31288003275767	0.0519989117960559	0.978485020859851
"X387104"	2.29855358083872	0.0534697974724014	0.978485020859851
"X6503"	2.29817485123648	0.0535091480170847	0.978485020859851
"X2835"	2.29359007776329	0.0539874339848247	0.978485020859851
"X30811"	2.29147826530963	0.0542089367995846	0.978485020859851
"X22843"	2.2891093809462	0.0544583052079114	0.978485020859851
"X11069"	-2.28069303495834	0.0553520322026357	0.978485020859851
"X221981"	2.28050468726506	0.0553721717513659	0.978485020859851
"X8537"	-2.28032249076849	0.0553916593787705	0.978485020859851
"X51278"	2.27153781411197	0.0563380672257492	0.978485020859851
"X55220"	2.27115963645213	0.056379110203751	0.978485020859851
"X5800"	2.2686572856977	0.0566513137997713	0.978485020859851
"X219527"	2.25918162353202	0.0576919999313601	0.978485020859851
"X50937"	2.25840451732927	0.0577780480068781	0.978485020859851
"X4293"	2.25002836505404	0.0587123199941996	0.978485020859851
"X284069"	2.24960720689014	0.058759625119644	0.978485020859851
"X254778"	-2.24787983593333	0.0589539772817517	0.978485020859851
"X64072"	2.24747243892179	0.0589998925484503	0.978485020859851
