"SRR1554536"	"SRR1554538"	"SRR1554556"	"SRR1554561"	"SRR1554566"	"SRR1554568"
"X100113390"	"0"	"109"	"19"	"16"	"87"	"57"
"X100113391"	"0"	"2"	"1"	"0"	"0"	"0"
"X100113392"	"0"	"1"	"0"	"0"	"0"	"1"
"X100113393"	"2"	"23"	"0"	"0"	"19"	"33"
"X100113402"	"0"	"3"	"0"	"0"	"0"	"0"
"X100113407"	"1403"	"11216"	"6051"	"2679"	"6927"	"7600"
"X100124412"	"0"	"0"	"0"	"0"	"0"	"0"
"X100124516"	"3"	"76"	"26"	"13"	"127"	"74"
"X100124533"	"2"	"33"	"6"	"2"	"13"	"23"
"X100124534"	"0"	"2"	"3"	"2"	"1"	"7"
"X100124535"	"0"	"0"	"0"	"0"	"0"	"0"
"X100124536"	"0"	"15"	"1"	"0"	"6"	"2"
"X100124537"	"0"	"0"	"1"	"0"	"1"	"0"
"X100124538"	"0"	"1"	"0"	"0"	"0"	"2"
"X100124539"	"0"	"0"	"0"	"0"	"0"	"0"
"X100124540"	"0"	"0"	"0"	"0"	"2"	"0"
"X100124541"	"0"	"2"	"1"	"0"	"0"	"1"
"X100124542"	"0"	"1"	"0"	"0"	"6"	"0"
"X100124692"	"2"	"25"	"2"	"4"	"25"	"36"
"X100124700"	"0"	"0"	"0"	"0"	"0"	"0"
"X100125288"	"152"	"1123"	"314"	"533"	"1461"	"675"
"X100125556"	"25"	"95"	"149"	"189"	"82"	"37"
"X100126270"	"0"	"38"	"4"	"7"	"5"	"17"
"X100126296"	"0"	"0"	"0"	"0"	"2"	"1"
"X100126297"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126299"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126300"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126301"	"0"	"0"	"1"	"0"	"0"	"0"
"X100126302"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126303"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126304"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126306"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126307"	"0"	"0"	"1"	"1"	"0"	"0"
"X100126308"	"0"	"0"	"3"	"1"	"2"	"1"
"X100126309"	"0"	"0"	"0"	"0"	"2"	"0"
"X100126310"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126311"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126313"	"0"	"3"	"2"	"0"	"3"	"1"
"X100126314"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126315"	"0"	"0"	"2"	"3"	"0"	"0"
"X100126316"	"0"	"1"	"0"	"0"	"1"	"0"
"X100126317"	"0"	"48"	"11"	"9"	"11"	"13"
"X100126318"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126319"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126320"	"0"	"1"	"0"	"1"	"5"	"1"
"X100126321"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126323"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126324"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126325"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126326"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126327"	"0"	"2"	"0"	"0"	"0"	"1"
"X100126328"	"7"	"21"	"18"	"29"	"18"	"11"
"X100126329"	"1"	"10"	"2"	"4"	"3"	"7"
"X100126331"	"0"	"0"	"0"	"0"	"2"	"0"
"X100126332"	"0"	"5"	"3"	"5"	"0"	"4"
"X100126333"	"0"	"1"	"1"	"1"	"0"	"1"
"X100126334"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126335"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126336"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126337"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126338"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126339"	"0"	"0"	"0"	"0"	"0"	"1"
"X100126340"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126341"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126342"	"0"	"0"	"3"	"0"	"0"	"0"
"X100126343"	"0"	"1"	"0"	"1"	"0"	"0"
"X100126344"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126345"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126346"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126347"	"1"	"4"	"0"	"0"	"1"	"2"
"X100126348"	"0"	"18"	"8"	"31"	"4"	"10"
"X100126349"	"0"	"1"	"0"	"0"	"0"	"0"
"X100126350"	"0"	"4"	"0"	"0"	"0"	"2"
"X100126351"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126354"	"0"	"0"	"0"	"0"	"0"	"0"
"X100126355"	"0"	"0"	"1"	"0"	"0"	"0"
