"SRR1554536"	"SRR1554538"	"SRR1554556"	"SRR1554561"	"SRR1554566"	"SRR1554568"
"X389903"	"0"	"0"	"0"	"0"	"0"	"0"
"X389906"	"42"	"1232"	"82"	"126"	"2190"	"1448"
"X389932"	"0"	"7"	"2"	"0"	"7"	"6"
"X389941"	"30"	"1996"	"2537"	"7205"	"558"	"149"
"X39"	"276"	"8285"	"2410"	"1529"	"6447"	"4230"
"X390"	"245"	"17418"	"777"	"427"	"19582"	"15600"
"X390003"	"0"	"2"	"0"	"0"	"0"	"0"
"X390010"	"0"	"0"	"12"	"36"	"0"	"0"
"X390036"	"0"	"0"	"0"	"0"	"0"	"0"
"X390037"	"0"	"5"	"2"	"2"	"0"	"0"
"X390038"	"0"	"0"	"0"	"0"	"0"	"0"
"X390053"	"0"	"0"	"0"	"0"	"0"	"0"
"X390054"	"0"	"0"	"0"	"2"	"0"	"0"
"X390058"	"0"	"0"	"1"	"0"	"0"	"0"
"X390059"	"0"	"0"	"0"	"0"	"0"	"0"
"X390061"	"0"	"0"	"6"	"0"	"0"	"0"
"X390063"	"0"	"0"	"0"	"0"	"0"	"0"
"X390064"	"0"	"0"	"0"	"0"	"0"	"2"
"X390066"	"0"	"0"	"0"	"0"	"0"	"0"
"X390067"	"0"	"0"	"0"	"0"	"0"	"0"
"X390072"	"0"	"1"	"2"	"2"	"0"	"2"
"X390075"	"0"	"0"	"0"	"0"	"0"	"0"
"X390077"	"0"	"0"	"4"	"0"	"0"	"0"
"X390078"	"0"	"0"	"0"	"0"	"0"	"0"
"X390079"	"0"	"0"	"0"	"0"	"0"	"0"
"X390081"	"0"	"0"	"0"	"0"	"0"	"0"
"X390083"	"0"	"0"	"0"	"0"	"0"	"0"
"X390084"	"0"	"0"	"2"	"0"	"0"	"0"
"X390093"	"0"	"0"	"0"	"0"	"0"	"0"
"X390110"	"0"	"0"	"2"	"0"	"3"	"3"
"X390113"	"0"	"0"	"0"	"0"	"0"	"0"
"X390142"	"0"	"0"	"0"	"0"	"0"	"0"
"X390144"	"0"	"0"	"0"	"0"	"0"	"0"
"X390148"	"0"	"0"	"0"	"0"	"0"	"0"
"X390151"	"0"	"0"	"0"	"0"	"0"	"0"
"X390152"	"0"	"0"	"0"	"0"	"0"	"0"
"X390154"	"0"	"0"	"0"	"0"	"0"	"0"
"X390155"	"0"	"0"	"0"	"0"	"0"	"0"
"X390157"	"0"	"0"	"0"	"0"	"0"	"0"
"X390162"	"0"	"0"	"0"	"0"	"0"	"0"
"X390167"	"0"	"0"	"0"	"0"	"0"	"0"
"X390168"	"0"	"0"	"0"	"0"	"0"	"0"
"X390174"	"0"	"0"	"0"	"0"	"0"	"0"
"X390181"	"0"	"2"	"0"	"0"	"0"	"0"
"X390190"	"0"	"0"	"0"	"0"	"0"	"0"
"X390191"	"0"	"4"	"0"	"0"	"2"	"2"
"X390195"	"0"	"0"	"0"	"0"	"0"	"0"
"X390197"	"0"	"0"	"0"	"0"	"0"	"0"
"X390199"	"0"	"0"	"0"	"0"	"0"	"0"
"X3902"	"21"	"84"	"33"	"42"	"148"	"73"
"X390201"	"0"	"0"	"0"	"2"	"0"	"0"
"X390205"	"192"	"498"	"284"	"1031"	"1442"	"659"
"X390212"	"1"	"2"	"4"	"0"	"0"	"4"
"X390213"	"6"	"12"	"5"	"12"	"24"	"13"
"X390226"	"0"	"3"	"0"	"0"	"0"	"0"
"X390231"	"0"	"0"	"0"	"0"	"0"	"0"
"X390243"	"0"	"2"	"0"	"0"	"0"	"0"
"X390245"	"2"	"4"	"2"	"0"	"0"	"1"
"X390259"	"0"	"0"	"0"	"0"	"0"	"2"
"X390260"	"0"	"0"	"0"	"0"	"0"	"0"
"X390261"	"0"	"0"	"0"	"2"	"0"	"0"
"X390264"	"0"	"0"	"0"	"0"	"0"	"0"
"X390265"	"0"	"0"	"0"	"2"	"0"	"0"
"X390271"	"0"	"0"	"0"	"6"	"0"	"0"
"X390275"	"0"	"0"	"0"	"0"	"0"	"0"
"X3903"	"1"	"60"	"166"	"47"	"76"	"42"
"X390321"	"0"	"0"	"0"	"0"	"0"	"0"
"X390323"	"0"	"0"	"0"	"0"	"0"	"0"
"X390326"	"0"	"0"	"0"	"0"	"0"	"0"
"X390327"	"0"	"0"	"0"	"0"	"0"	"0"
"X390354"	"380"	"2363"	"524"	"307"	"1210"	"1271"
"X3904"	"0"	"0"	"16"	"4"	"0"	"0"
"X390429"	"0"	"0"	"0"	"0"	"0"	"0"
"X390431"	"0"	"0"	"0"	"0"	"0"	"0"
"X390433"	"0"	"0"	"0"	"0"	"0"	"0"
"X390436"	"0"	"0"	"0"	"0"	"0"	"0"
"X390437"	"0"	"0"	"0"	"0"	"0"	"0"
"X390439"	"0"	"0"	"0"	"0"	"0"	"0"
"X390442"	"0"	"0"	"4"	"0"	"2"	"6"
"X390443"	"0"	"0"	"0"	"0"	"0"	"0"
"X390445"	"0"	"0"	"0"	"0"	"0"	"0"
"X390502"	"0"	"0"	"0"	"0"	"0"	"0"
"X390535"	"0"	"1"	"1"	"0"	"0"	"0"
"X390538"	"0"	"0"	"0"	"0"	"0"	"0"
"X390539"	"0"	"0"	"4"	"2"	"0"	"0"
"X390561"	"10"	"47"	"25"	"41"	"18"	"106"
"X390594"	"2"	"4"	"2"	"0"	"0"	"0"
"X390595"	"116"	"376"	"584"	"599"	"267"	"218"
"X390598"	"25"	"176"	"114"	"108"	"170"	"214"
"X3906"	"0"	"0"	"0"	"0"	"0"	"1"
"X390616"	"35"	"0"	"523"	"666"	"2"	"0"
"X390637"	"15"	"160"	"220"	"257"	"168"	"87"
"X390638"	"0"	"2"	"0"	"0"	"0"	"0"
"X390648"	"0"	"0"	"0"	"0"	"0"	"0"
"X390649"	"0"	"0"	"0"	"0"	"2"	"0"
"X390660"	"2"	"31"	"16"	"54"	"25"	"26"
"X390664"	"5"	"9"	"21"	"8"	"8"	"5"
"X390667"	"0"	"0"	"13"	"14"	"6"	"4"
"X390705"	"0"	"0"	"0"	"0"	"0"	"0"
"X390714"	"0"	"0"	"0"	"0"	"0"	"0"
"X390732"	"0"	"0"	"1"	"0"	"0"	"0"
"X390748"	"10"	"114"	"80"	"62"	"100"	"64"
"X390756"	"0"	"0"	"0"	"0"	"0"	"0"
"X390760"	"2"	"6"	"8"	"4"	"6"	"8"
"X390790"	"2"	"14"	"11"	"17"	"2"	"1"
"X390791"	"0"	"8"	"2"	"4"	"2"	"7"
"X390792"	"0"	"0"	"0"	"0"	"2"	"1"
"X3908"	"591"	"1453"	"1563"	"1012"	"1531"	"1057"
"X390858"	"0"	"0"	"6"	"0"	"0"	"0"
"X390874"	"0"	"0"	"0"	"0"	"2"	"0"
"X390882"	"0"	"0"	"0"	"0"	"0"	"0"
"X390883"	"0"	"0"	"0"	"2"	"0"	"0"
"X390892"	"0"	"0"	"0"	"0"	"0"	"0"
"X3909"	"170"	"1462"	"678"	"557"	"1578"	"1658"
"X390916"	"99"	"743"	"486"	"382"	"519"	"490"
"X390927"	"248"	"11011"	"1283"	"687"	"9703"	"10108"
"X390928"	"18"	"2"	"324"	"61"	"2"	"0"
"X390937"	"3"	"38"	"33"	"26"	"26"	"26"
"X390940"	"112"	"517"	"96"	"77"	"524"	"375"
"X390956"	"0"	"0"	"0"	"3"	"0"	"0"
"X390980"	"179"	"2739"	"1072"	"408"	"1694"	"1844"
"X390992"	"0"	"0"	"0"	"0"	"0"	"0"
"X390999"	"0"	"0"	"0"	"0"	"0"	"0"
"X391"	"341"	"514"	"3735"	"490"	"594"	"361"
"X3910"	"804"	"2832"	"1149"	"786"	"2971"	"1648"
"X391001"	"0"	"0"	"0"	"0"	"0"	"0"
"X391002"	"0"	"0"	"0"	"0"	"0"	"0"
"X391003"	"0"	"0"	"0"	"0"	"0"	"0"
"X391004"	"0"	"0"	"0"	"0"	"0"	"0"
"X391013"	"0"	"0"	"0"	"1"	"1"	"0"
"X391037"	"0"	"4"	"8"	"2"	"7"	"14"
"X391051"	"4"	"5"	"43"	"12"	"1"	"4"
"X391059"	"0"	"82"	"12"	"4"	"45"	"46"
"X3911"	"1149"	"6268"	"1987"	"4471"	"6775"	"4023"
"X391104"	"2"	"24"	"5"	"0"	"9"	"4"
"X391107"	"0"	"0"	"0"	"0"	"0"	"0"
"X391109"	"0"	"0"	"0"	"0"	"0"	"0"
"X391112"	"0"	"0"	"0"	"0"	"0"	"0"
"X391114"	"0"	"0"	"0"	"0"	"0"	"0"
"X391123"	"3"	"36"	"24"	"29"	"50"	"24"
"X391169"	"0"	"4"	"4"	"1"	"7"	"5"
"X391189"	"0"	"0"	"0"	"0"	"0"	"0"
"X391190"	"0"	"0"	"0"	"3"	"0"	"0"
"X391191"	"0"	"2"	"0"	"0"	"2"	"0"
"X391192"	"0"	"1"	"13"	"5"	"13"	"2"
"X391194"	"0"	"0"	"0"	"0"	"0"	"0"
"X391195"	"0"	"2"	"1"	"4"	"0"	"0"
"X391196"	"0"	"0"	"0"	"0"	"0"	"0"
"X3912"	"354"	"5736"	"2850"	"3341"	"8545"	"4065"
"X391211"	"0"	"0"	"0"	"0"	"0"	"0"
"X391230"	"0"	"3"	"0"	"0"	"0"	"1"
"X391253"	"0"	"0"	"0"	"0"	"0"	"0"
"X391257"	"0"	"0"	"0"	"0"	"2"	"0"
"X391267"	"0"	"1"	"8"	"18"	"2"	"0"
"X3913"	"2222"	"4299"	"3418"	"2518"	"6041"	"3625"
"X391322"	"10"	"20"	"27"	"10"	"60"	"0"
"X391343"	"0"	"0"	"0"	"0"	"0"	"0"
"X391356"	"312"	"976"	"575"	"398"	"705"	"502"
"X391365"	"0"	"0"	"0"	"0"	"0"	"0"
"X3914"	"60"	"101"	"535"	"951"	"66"	"67"
"X391405"	"0"	"0"	"0"	"2"	"0"	"0"
"X391475"	"0"	"0"	"0"	"4"	"0"	"0"
"X3915"	"1055"	"6910"	"1498"	"1281"	"6323"	"4966"
"X391518"	"0"	"2"	"6"	"4"	"0"	"0"
"X3916"	"2956"	"7733"	"21352"	"8154"	"5456"	"5355"
"X391622"	"0"	"0"	"0"	"0"	"0"	"0"
"X391627"	"0"	"0"	"0"	"0"	"0"	"0"
"X391634"	"3"	"21"	"13"	"9"	"28"	"10"
"X391712"	"2"	"101"	"46"	"73"	"83"	"142"
"X391722"	"0"	"3"	"0"	"0"	"7"	"4"
"X391723"	"0"	"0"	"2"	"0"	"3"	"0"
"X391764"	"0"	"0"	"0"	"0"	"0"	"0"
"X391766"	"0"	"0"	"0"	"0"	"0"	"0"
"X391767"	"0"	"0"	"0"	"0"	"0"	"0"
"X3918"	"23"	"174"	"18"	"18"	"227"	"289"
"X392"	"1424"	"6257"	"10821"	"6387"	"5635"	"4983"
"X3920"	"2728"	"6501"	"41257"	"6513"	"3833"	"3978"
"X3921"	"6991"	"40664"	"15224"	"11820"	"34331"	"23236"
"X392138"	"0"	"0"	"0"	"0"	"0"	"0"
"X392196"	"4"	"4"	"0"	"0"	"4"	"4"
"X392217"	"0"	"0"	"0"	"2"	"0"	"0"
"X392232"	"0"	"26"	"7"	"8"	"23"	"36"
"X392255"	"28"	"78"	"48"	"46"	"26"	"24"
"X392275"	"0"	"17"	"17"	"24"	"71"	"19"
"X392288"	"0"	"0"	"1"	"0"	"0"	"0"
"X392307"	"8"	"21"	"36"	"15"	"4"	"11"
"X392309"	"6"	"18"	"23"	"20"	"3"	"2"
"X392360"	"1"	"11"	"15"	"11"	"6"	"4"
"X392364"	"0"	"0"	"0"	"12"	"0"	"0"
"X392376"	"0"	"0"	"0"	"2"	"2"	"2"
"X392390"	"0"	"1"	"0"	"0"	"0"	"0"
"X392391"	"0"	"2"	"0"	"0"	"0"	"2"
"X392392"	"0"	"2"	"2"	"0"	"4"	"0"
"X392399"	"0"	"0"	"2"	"0"	"0"	"0"
"X392459"	"0"	"2"	"0"	"0"	"2"	"2"
"X392465"	"0"	"0"	"0"	"0"	"0"	"2"
"X392490"	"2"	"25"	"15"	"22"	"11"	"21"
"X3925"	"4410"	"204449"	"63371"	"28271"	"153513"	"116005"
"X392509"	"0"	"17"	"11"	"15"	"19"	"23"
"X392617"	"99"	"1494"	"418"	"980"	"560"	"456"
"X392636"	"10"	"2"	"59"	"4"	"0"	"0"
"X3927"	"2327"	"27961"	"11044"	"13462"	"23214"	"18687"
"X392843"	"0"	"10"	"3"	"6"	"15"	"2"
"X392862"	"21"	"386"	"97"	"139"	"328"	"194"
"X3929"	"0"	"1"	"0"	"4"	"0"	"1"
"X393"	"204"	"577"	"539"	"462"	"2061"	"708"
"X3930"	"649"	"12233"	"2224"	"611"	"11266"	"9989"
"X393046"	"0"	"0"	"0"	"0"	"0"	"0"
"X393076"	"0"	"2"	"0"	"0"	"5"	"0"
"X393078"	"0"	"3"	"5"	"0"	"1"	"0"
"X3931"	"259"	"395"	"504"	"307"	"447"	"343"
"X3932"	"57"	"4"	"22"	"14"	"4"	"2"
"X3933"	"13"	"0"	"18"	"41"	"0"	"0"
"X3934"	"8"	"58"	"6"	"29"	"9"	"26"
"X3936"	"200"	"242"	"304"	"117"	"248"	"130"
"X3937"	"142"	"164"	"564"	"583"	"93"	"97"
"X3938"	"0"	"12"	"2"	"8"	"23"	"7"
"X3939"	"2081"	"13728"	"18866"	"14568"	"13926"	"11515"
"X394"	"5819"	"19164"	"15091"	"5389"	"12610"	"12891"
"X394263"	"0"	"0"	"0"	"0"	"0"	"0"
"X3945"	"16015"	"32594"	"35115"	"27170"	"39434"	"27226"
"X3948"	"0"	"0"	"2"	"0"	"0"	"0"
"X3949"	"295"	"4606"	"2862"	"1899"	"6841"	"5701"
"X395"	"152"	"434"	"248"	"216"	"159"	"82"
"X3950"	"0"	"0"	"1"	"0"	"2"	"0"
"X3952"	"2"	"2"	"0"	"4"	"0"	"2"
"X3953"	"601"	"1103"	"905"	"249"	"674"	"377"
"X3954"	"1036"	"7475"	"4535"	"5597"	"7666"	"5807"
"X3955"	"681"	"911"	"776"	"585"	"1321"	"927"
"X3956"	"2305"	"2043"	"6236"	"6876"	"496"	"402"
"X3957"	"2"	"7"	"11"	"0"	"8"	"4"
"X3958"	"1706"	"1040"	"1285"	"613"	"578"	"471"
"X3959"	"709"	"1582"	"8020"	"1825"	"2801"	"1357"
"X396"	"3139"	"15127"	"17362"	"22420"	"14801"	"11182"
"X3960"	"13"	"54"	"31"	"27"	"89"	"21"
"X3963"	"0"	"0"	"0"	"0"	"4"	"0"
"X3964"	"104"	"4084"	"1744"	"1785"	"1215"	"1439"
"X3965"	"125"	"176"	"500"	"156"	"175"	"93"
"X397"	"475"	"718"	"960"	"508"	"403"	"318"
"X3972"	"2"	"4"	"10"	"8"	"9"	"5"
"X3973"	"0"	"7"	"4"	"4"	"2"	"6"
"X3975"	"0"	"34"	"9"	"0"	"64"	"52"
"X3976"	"16"	"83"	"6"	"0"	"248"	"147"
"X3977"	"2342"	"9018"	"12107"	"3107"	"13589"	"10649"
"X3978"	"161"	"5331"	"1093"	"1089"	"8065"	"5299"
"X398"	"2444"	"1544"	"6831"	"9947"	"870"	"546"
"X3980"	"234"	"4250"	"1570"	"1533"	"5422"	"3782"
"X3981"	"437"	"2046"	"4206"	"2656"	"2448"	"1991"
"X3982"	"2"	"0"	"2"	"0"	"4"	"0"
"X3983"	"6067"	"16305"	"15220"	"10855"	"6799"	"6475"
"X3984"	"1595"	"6403"	"11487"	"20528"	"7550"	"6022"
"X3985"	"575"	"2811"	"1892"	"1233"	"4253"	"2738"
"X3987"	"545"	"1924"	"1427"	"333"	"2049"	"1911"
"X3988"	"767"	"2192"	"14027"	"2056"	"1445"	"1025"
"X399"	"24"	"4"	"8"	"4"	"17"	"0"
"X3990"	"0"	"4"	"30"	"51"	"4"	"6"
"X3991"	"184"	"992"	"4609"	"1112"	"1388"	"927"
"X3992"	"3338"	"16770"	"11661"	"3217"	"16664"	"15200"
"X3993"	"140"	"104"	"795"	"317"	"235"	"125"
"X399473"	"18"	"262"	"215"	"660"	"98"	"103"
"X399474"	"91"	"55"	"108"	"220"	"51"	"46"
"X3995"	"856"	"2354"	"2577"	"2965"	"1395"	"908"
"X399512"	"55"	"58"	"137"	"50"	"65"	"42"
"X3996"	"1904"	"9919"	"15074"	"4150"	"14187"	"9315"
"X399664"	"300"	"5393"	"1552"	"1261"	"4085"	"4604"
"X399665"	"2364"	"3003"	"16842"	"12661"	"2708"	"2221"
"X399668"	"1043"	"1699"	"5984"	"9744"	"930"	"722"
"X399669"	"8"	"103"	"38"	"6"	"172"	"145"
"X399670"	"0"	"3"	"1"	"0"	"5"	"14"
"X399671"	"26"	"398"	"172"	"100"	"258"	"272"
"X399687"	"1393"	"13607"	"13067"	"12296"	"10776"	"8719"
"X399694"	"217"	"526"	"2001"	"366"	"204"	"183"
"X399697"	"45"	"83"	"297"	"171"	"80"	"40"
"X399706"	"6"	"6"	"0"	"0"	"1"	"0"
"X399716"	"2"	"2"	"4"	"2"	"0"	"6"
"X399717"	"2"	"0"	"0"	"0"	"0"	"0"
"X399726"	"326"	"867"	"381"	"576"	"941"	"633"
"X399744"	"83"	"561"	"452"	"197"	"185"	"243"
"X399753"	"24"	"668"	"169"	"352"	"86"	"141"
"X399761"	"4"	"38"	"35"	"31"	"169"	"7"
"X3998"	"980"	"5803"	"4234"	"1585"	"4598"	"4069"
"X399806"	"0"	"0"	"0"	"0"	"0"	"0"
"X399814"	"0"	"0"	"0"	"0"	"0"	"0"
"X399815"	"2"	"34"	"63"	"40"	"58"	"57"
"X399818"	"389"	"2273"	"1321"	"577"	"2036"	"1892"
"X399821"	"17"	"123"	"120"	"119"	"88"	"88"
"X399823"	"0"	"0"	"0"	"0"	"2"	"4"
"X399827"	"136"	"0"	"163"	"477"	"8"	"0"
"X399829"	"12"	"6"	"180"	"776"	"2"	"0"
"X399833"	"10"	"23"	"161"	"216"	"27"	"30"
"X399844"	"2"	"37"	"30"	"32"	"43"	"29"
"X399876"	"0"	"1"	"7"	"3"	"2"	"2"
"X399881"	"0"	"2"	"6"	"0"	"0"	"0"
"X399886"	"4"	"15"	"15"	"8"	"14"	"8"
"X399888"	"17"	"65"	"15"	"43"	"65"	"57"
"X399909"	"690"	"5571"	"3287"	"3950"	"7058"	"4748"
"X399939"	"0"	"0"	"0"	"0"	"0"	"0"
"X399940"	"0"	"0"	"2"	"0"	"0"	"0"
"X399947"	"310"	"6069"	"7587"	"9301"	"1095"	"1568"
"X399948"	"71"	"253"	"242"	"115"	"206"	"177"
"X399949"	"2"	"2"	"7"	"0"	"218"	"2"
"X399959"	"1218"	"38610"	"4300"	"1917"	"18925"	"32517"
"X399967"	"2"	"9"	"11"	"6"	"4"	"8"
"X399968"	"0"	"4"	"0"	"2"	"2"	"2"
"X399972"	"25"	"263"	"91"	"44"	"266"	"174"
"X399979"	"1809"	"7425"	"6881"	"5392"	"7733"	"6216"
"X40"	"124"	"1284"	"1424"	"1982"	"103"	"73"
"X400"	"1005"	"3160"	"6054"	"3553"	"2522"	"2164"
"X4000"	"1192"	"3410"	"3273"	"1534"	"4871"	"3440"
"X400027"	"405"	"2673"	"1202"	"539"	"2025"	"2049"
"X400043"	"15"	"124"	"36"	"28"	"52"	"20"
"X400046"	"31"	"291"	"476"	"317"	"192"	"160"
"X400058"	"0"	"5"	"3"	"1"	"10"	"3"
"X400073"	"729"	"2455"	"6362"	"2594"	"1963"	"1458"
"X400084"	"0"	"17"	"0"	"7"	"19"	"7"
"X400087"	"0"	"2"	"6"	"0"	"0"	"0"
"X400099"	"23"	"141"	"139"	"51"	"134"	"108"
"X4001"	"88"	"15260"	"297"	"258"	"27032"	"16785"
"X400110"	"1"	"3"	"3"	"16"	"3"	"4"
"X400120"	"72"	"647"	"1286"	"1564"	"191"	"145"
"X400123"	"1"	"0"	"0"	"0"	"0"	"0"
"X400165"	"0"	"2"	"0"	"0"	"0"	"0"
"X400221"	"6"	"6"	"5"	"5"	"3"	"2"
"X400223"	"25"	"85"	"51"	"40"	"124"	"134"
"X400224"	"10"	"32"	"107"	"187"	"94"	"61"
"X400236"	"22"	"40"	"33"	"34"	"46"	"25"
"X400238"	"10"	"7"	"25"	"13"	"4"	"6"
"X400242"	"164"	"395"	"537"	"193"	"436"	"367"
"X400258"	"3"	"28"	"18"	"50"	"64"	"0"
"X400322"	"492"	"4349"	"7815"	"3174"	"14258"	"3812"
"X400359"	"0"	"0"	"0"	"0"	"2"	"0"
"X400360"	"0"	"0"	"2"	"4"	"2"	"0"
"X4004"	"23"	"193"	"71"	"63"	"259"	"122"
"X400410"	"16"	"249"	"89"	"34"	"401"	"149"
"X400451"	"226"	"1065"	"1410"	"1121"	"834"	"410"
"X400454"	"0"	"4"	"0"	"0"	"0"	"0"
"X400456"	"35"	"290"	"84"	"92"	"19"	"15"
"X400464"	"0"	"26"	"5"	"13"	"21"	"39"
"X400499"	"2"	"28"	"46"	"32"	"24"	"14"
"X4005"	"1097"	"1279"	"1395"	"390"	"977"	"478"
"X400500"	"0"	"5"	"2"	"0"	"3"	"3"
"X400506"	"198"	"2472"	"1713"	"622"	"2807"	"2135"
"X400508"	"0"	"85"	"2"	"2"	"67"	"127"
"X400509"	"0"	"103"	"6"	"4"	"110"	"194"
"X400511"	"3"	"29"	"32"	"18"	"61"	"18"
"X400512"	"5"	"6"	"4"	"9"	"13"	"14"
"X400533"	"0"	"0"	"0"	"0"	"0"	"0"
"X400539"	"6"	"92"	"18"	"21"	"21"	"19"
"X400548"	"2"	"4"	"23"	"19"	"0"	"0"
"X400550"	"36"	"34"	"154"	"48"	"13"	"8"
"X400553"	"84"	"27"	"338"	"1509"	"34"	"18"
"X400566"	"125"	"617"	"716"	"658"	"541"	"145"
"X400569"	"196"	"398"	"550"	"253"	"665"	"402"
"X400576"	"0"	"4"	"0"	"0"	"14"	"10"
"X400578"	"0"	"0"	"5"	"0"	"0"	"0"
"X400581"	"0"	"1"	"0"	"0"	"0"	"0"
"X400590"	"41"	"172"	"89"	"28"	"147"	"96"
"X400591"	"12"	"30"	"190"	"453"	"10"	"4"
"X400604"	"70"	"256"	"256"	"233"	"245"	"265"
"X400617"	"28"	"66"	"503"	"69"	"26"	"24"
"X400618"	"234"	"282"	"243"	"99"	"223"	"169"
"X400619"	"4"	"2"	"4"	"1"	"0"	"0"
"X400624"	"0"	"2"	"9"	"1"	"12"	"0"
"X400629"	"0"	"2"	"2"	"2"	"2"	"0"
"X400643"	"0"	"1"	"0"	"0"	"4"	"42"
"X400654"	"0"	"0"	"0"	"0"	"0"	"0"
"X400655"	"0"	"0"	"0"	"0"	"0"	"3"
"X400657"	"237"	"1561"	"1263"	"593"	"1424"	"1088"
"X400658"	"24"	"14"	"20"	"18"	"13"	"8"
"X400660"	"16"	"12"	"49"	"31"	"6"	"4"
"X400661"	"0"	"0"	"0"	"0"	"0"	"0"
"X400668"	"0"	"0"	"0"	"0"	"2"	"0"
"X400673"	"45"	"658"	"373"	"284"	"697"	"585"
"X400680"	"4"	"182"	"10"	"12"	"510"	"286"
"X400682"	"16"	"23"	"20"	"0"	"10"	"17"
"X400685"	"2"	"203"	"0"	"2"	"412"	"178"
"X400692"	"25"	"335"	"92"	"52"	"404"	"358"
"X400696"	"0"	"0"	"4"	"0"	"0"	"0"
"X4007"	"57"	"59"	"118"	"119"	"49"	"50"
"X400709"	"5"	"60"	"24"	"23"	"79"	"132"
"X400710"	"8"	"39"	"54"	"30"	"28"	"170"
"X400713"	"183"	"1516"	"600"	"208"	"1372"	"1509"
"X400720"	"247"	"5334"	"890"	"494"	"3008"	"2807"
"X400728"	"1"	"102"	"29"	"17"	"14"	"42"
"X400735"	"0"	"0"	"0"	"0"	"0"	"0"
"X400736"	"0"	"0"	"0"	"0"	"0"	"0"
"X400743"	"0"	"0"	"0"	"0"	"0"	"0"
"X400745"	"436"	"61"	"3764"	"8051"	"44"	"28"
"X400746"	"0"	"2"	"28"	"0"	"11"	"0"
"X400752"	"28"	"68"	"76"	"33"	"38"	"50"
"X400757"	"2"	"1"	"6"	"4"	"4"	"1"
"X400759"	"28"	"0"	"31"	"2"	"0"	"0"
"X400761"	"35"	"64"	"165"	"59"	"28"	"25"
"X400765"	"6"	"1653"	"95"	"174"	"392"	"885"
"X400768"	"0"	"0"	"0"	"0"	"0"	"0"
"X400793"	"64"	"3744"	"586"	"358"	"2291"	"1973"
"X400794"	"0"	"0"	"0"	"0"	"2"	"4"
"X400797"	"0"	"0"	"0"	"0"	"0"	"0"
"X400798"	"9"	"715"	"100"	"106"	"715"	"717"
"X4008"	"257"	"15972"	"6605"	"6072"	"31063"	"38222"
"X400804"	"0"	"0"	"12"	"2"	"0"	"0"
"X400818"	"62"	"2804"	"399"	"340"	"1770"	"2651"
"X400823"	"0"	"2"	"3"	"3"	"4"	"0"
"X400830"	"0"	"0"	"0"	"0"	"0"	"0"
"X400831"	"8"	"29"	"40"	"24"	"55"	"16"
"X400841"	"10"	"124"	"149"	"102"	"36"	"42"
"X400850"	"12"	"4"	"14"	"18"	"0"	"2"
"X400863"	"0"	"6"	"2"	"6"	"2"	"6"
"X400866"	"0"	"0"	"9"	"2"	"0"	"0"
"X400867"	"0"	"0"	"8"	"19"	"0"	"0"
"X400870"	"0"	"0"	"0"	"0"	"0"	"0"
"X400879"	"0"	"0"	"4"	"23"	"0"	"0"
"X400891"	"2"	"19"	"16"	"11"	"25"	"10"
"X4009"	"0"	"2"	"0"	"0"	"193"	"4"
"X400916"	"688"	"270"	"1274"	"1676"	"402"	"177"
"X400927"	"26"	"520"	"95"	"90"	"243"	"498"
"X400931"	"41"	"411"	"196"	"142"	"83"	"75"
"X400932"	"5"	"0"	"86"	"271"	"0"	"0"
"X400935"	"0"	"13"	"84"	"263"	"5"	"4"
"X400940"	"34"	"2188"	"466"	"134"	"854"	"1221"
"X400941"	"0"	"151"	"27"	"8"	"127"	"102"
"X400946"	"4"	"73"	"11"	"2"	"85"	"74"
"X400950"	"0"	"2"	"4"	"2"	"0"	"0"
"X400952"	"1"	"4"	"0"	"1"	"0"	"2"
"X400954"	"204"	"2683"	"1725"	"2069"	"2546"	"1726"
"X400955"	"21"	"1925"	"318"	"281"	"1948"	"1916"
"X400957"	"0"	"5"	"13"	"8"	"2"	"3"
"X400960"	"157"	"1369"	"455"	"315"	"1234"	"1131"
"X400961"	"2868"	"3058"	"15605"	"3203"	"2331"	"2182"
"X400966"	"0"	"32"	"10"	"10"	"6"	"33"
"X400986"	"71"	"5453"	"909"	"417"	"2382"	"2374"
"X400997"	"0"	"28"	"6"	"6"	"17"	"10"
"X400999"	"18"	"30"	"104"	"51"	"16"	"37"
"X401"	"0"	"0"	"0"	"0"	"0"	"2"
"X4010"	"0"	"4"	"2"	"8"	"2"	"10"
"X401010"	"0"	"4"	"6"	"9"	"19"	"12"
"X401014"	"18"	"0"	"4"	"6"	"4"	"0"
"X401022"	"38"	"6"	"3011"	"131"	"9"	"6"
"X401024"	"29"	"298"	"215"	"37"	"308"	"231"
"X401027"	"2"	"100"	"15"	"13"	"35"	"65"
"X401036"	"0"	"3"	"6"	"11"	"11"	"6"
"X401039"	"0"	"0"	"0"	"0"	"0"	"0"
"X401040"	"0"	"0"	"0"	"2"	"0"	"0"
"X401052"	"56"	"319"	"167"	"100"	"432"	"319"
"X401067"	"0"	"16"	"32"	"24"	"7"	"32"
"X401068"	"8"	"26"	"24"	"37"	"27"	"15"
"X401081"	"0"	"0"	"0"	"0"	"0"	"0"
"X401082"	"0"	"0"	"0"	"0"	"0"	"0"
"X401089"	"8"	"69"	"74"	"18"	"66"	"64"
"X401093"	"90"	"162"	"330"	"239"	"65"	"72"
"X401097"	"104"	"482"	"2161"	"3936"	"14"	"58"
"X401105"	"4"	"12"	"4"	"0"	"2"	"0"
